Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,Dòng Thời Gian Cộng Đồng Người Que Việt Nam!,"📣 Đây là nơi tổng hợp lịch sử phát triển stickman việt nam<br />❗ Thông tin có thể sẽ không <b>đầy đủ</b> nên thông tin này chỉ được dừng lại ở mức tham khảo.<br />🛠 Cập nhật lần cuối: <b>23 tháng 7 năm 2024</b><br/><img width=""280"" height=""153"" src=""https://i.ibb.co/N705YWD/vsc-timeline.gif"" class=""attachment-full size-full wp-image-85"" alt="""" loading=""lazy"" srcset=""https://i.ibb.co/N705YWD/vsc-timeline.gif 622w, https://i.ibb.co/N705YWD/vsc-timeline.gif"" sizes=""(max-width: 622px) 100vw, 622px"">",,,,,title,,https://i.ibb.co/PtWfmBg/vsc-white-no-font.png
2010,12,,,,,,,,"Protect the World - Part 1
","Một dự án trường học ""Bảo vệ thế giới"" do <b>C3WhiteRose</b> thực hiện. Được đăng tải lại trên youtube vào 5 tháng 3 2017.",https://www.youtube.com/watch?v=TRSM2lxaYjg,,,,,Animation,https://i.imgur.com/ONrHhHd.gif
2011,1,,,,,,,,Protect the World - Part 2,"Một dự án trường học ""Bảo vệ thế giới"" do <b>C3WhiteRose</b> thực hiện. Được đăng tải lại trên youtube vào 8 tháng 3 2017. Theo lời nhận xét của C3WhiteRose về tập 2 ""Đối với tôi phần này là nhàm chán nhất"".",https://www.youtube.com/watch?v=dSh7D1ULKKw,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1109015470658551929/image.png
2011,1,,,,,,,,Protect the World - Part 3,"Một dự án trường học ""Bảo vệ thế giới"" do <b>C3WhiteRose</b> thực hiện. Được đăng tải lại trên youtube vào 10 tháng 3 2017. Phần cuối cùng của dự án này.",https://www.youtube.com/watch?v=YTDdaqYcINU,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1109016863960211496/image.png
2011,10,,,,,,,,"Story#1 Azoan brothers, the beginning",Hoạt hình được làm bởi <b>C3WhiteRose</b>.,https://www.youtube.com/watch?v=hse1q_N0oDw,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1109017894110646364/image.png
2012,12,,,,,,,,Story#2 Derax - ShadowRose's younger brother,Hoạt hình được làm bởi <b>C3WhiteRose</b>.,https://www.youtube.com/watch?v=us47gfpU-tw&list=PLmGafMX4iLHH6czMrWoA9riKuSVaX13hI&index=23,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1109479008292327524/image.png
2013,3,,,,,,,,Story#3 A fight between long eyelashed men,Hoạt hình được làm bởi <b>C3WhiteRose</b>.,https://www.youtube.com/watch?v=4tREgwqrpk4&list=PLmGafMX4iLHH6czMrWoA9riKuSVaX13hI&index=19,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1109479724176121866/image.png
2013,4,,,,,,,,Story#4 The kid in a big city,Hoạt hình được làm bởi <b>C3WhiteRose</b>.,https://www.youtube.com/watch?v=AHjCrCHo2Yc&list=PLmGafMX4iLHH6czMrWoA9riKuSVaX13hI&index=18,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1110566637633032202/image.png
2013,6,,,,,,,,Story#5 Mad scientist's testing program,Hoạt hình được làm bởi <b>C3WhiteRose</b>.,https://www.youtube.com/watch?v=SzPWOHr4lGo&list=PLmGafMX4iLHH6czMrWoA9riKuSVaX13hI&index=17,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1110567029821407363/image.png
2014,12,,,,,,,,Story#7 Mister Green's employee,Hoạt hình được làm bởi <b>C3WhiteRose</b>.,https://www.youtube.com/watch?v=h8TtkuMWJCs,,,,,Animation,https://cdn.discordapp.com/attachments/1108218795413221426/1110568030745927711/image.png
